filename,chunk_id,text
notion_page_01.txt,0,"Start here In this Article
Curious about what Notion is? We'll show you right here, and in the articles to come. Let's go! 📍
We like to describe Notion as a set of building blocks for creating things you love to use on your computer, such as: Documents Databases Public websites Knowledge bases Project management systems The world's most beautiful notes... 😉 Notion is different from other software in a few ways. And once you master these basics, you can pretty much build whatever you want. Most importantly, don't worry about not knowing everything you can do right away. We'll discover it together. Read on to dive right in!"
notion_page_02.txt,0,"What is a block? In this Article
Think of Notion as a bottomless bin of building blocks. Build whatever you want, however you want 🧱 Everything in Notion is a ""block""
When you create your first page in Notion and begin typing, you've started with a text block. But Notion pages can contain a lot more than plain text! Imagine every piece of content you add to a page — whether it's text, an image, or a table — as a single building block. Every page is a stack of blocks combined however you want. Here's just one example page with different block types pointed out: What is a block - block example Tip: Hit the / key on your keyboard (or tap the + button above your keyboard if you're on mobile) to see all the different types of content you can add. Blocks can transform
Any block in Notion can be turned into any other type of block in order to use, view, or deepen that information in a new way. Try this out by clicking the ⋮⋮ symbol and choosing Turn into to convert your block to something else!"
notion_page_02.txt,1,"to use, view, or deepen that information in a new way. Try this out by clicking the ⋮⋮ symbol and choosing Turn into to convert your block to something else! Blocks can be rearranged
The ⋮⋮ button can be used to drag and drop existing blocks. This makes it simple to rearrange, reorder, and reshape your thoughts with one motion."
notion_page_03.txt,0,"Create a page In this Article
Every page you create in Notion is a fresh canvas where you can add whatever content you want. Follow these steps to create your first one 📄
Contents
Create a page
Start writing
Try a slash command
Create a page
There are a few ways to add a new page in Notion. Click 📝 at the top of your left sidebar. If you’re on the desktop app, use the shortcut cmd/ctrl + N. If you’re on mobile, tap 📝 at the bottom of your screen. Start writing
Once your new page opens, you can give your page a title and start jotting down your thoughts. Need some inspiration or structure? On desktop or web, select any of the options at the bottom of the page to get started. You can import from an app or file, use a template, create a table, and more — select an option you like, and your page will be formatted accordingly! As you write, highlight any text on your page to bring up a menu of options. You can change the color or style of your text, add a comment or hyperlink, and more. Try a slash command
The / command will quickly become your best friend in Notion."
notion_page_03.txt,1,"change the color or style of your text, add a comment or hyperlink, and more. Try a slash command The / command will quickly become your best friend in Notion. Typing / brings up a menu of block types — all of your options for the type of content you can create in Notion. As you experiment with block types, you’ll find a combination of your most used and your recently used blocks at the top of the menu for quick and easy access. Add any type of block by typing / and scrolling to the one you want or typing its name. For instance, /h1 creates a large heading, and /todo creates a checkbox."
notion_page_04.txt,0,"Create a subpage In this Article
There are no folders in Notion. Instead, you can organize pages inside pages... inside pages. Here, we'll show you how to create a page within another page, which we call a subpage 📑 Create a subpage
A subpage is a page inside a page. You can create any number of subpages for a page. There are multiple ways to create a subpage: Open a page (this will be the subpage’s parent page) and use the slash command /page. Find your desired parent page in your sidebar and select + next to it. This will create a subpage in that page. When you return to the parent page, you’ll see the subpage there. Once your new page opens, you can give your page a title and start jotting down your thoughts. Need some inspiration or structure? On desktop or web, select any of the options at the bottom of the page to get started. You can import from an app or file, use a template, create a table, and more — select an option you like, and your page will be formatted accordingly! Navigate with your sidebar and breadcrumbs
When you open the toggle for the parent page in your sidebar, you’ll see its subpages there."
notion_page_04.txt,1,"and your page will be formatted accordingly! Navigate with your sidebar and breadcrumbs When you open the toggle for the parent page in your sidebar, you’ll see its subpages there. Additionally, at the top of your page, you’ll see breadcrumbs that show you what page you’re in, and where that page lives. Rearrange your page structure
The pages in your workspace can be easily rearranged. To take a subpage out of its parent page, click on it in the sidebar and drag it out of the parent page's toggle. To make a page a subpage, click on it in the sidebar and drag it into another page."
notion_page_05.txt,0,"What is a database? In this Article
Databases are a core feature in Notion that help you manage and organize your pages. Let's explain what they are and how they can help you level up your workspace 🗄
Contents
Databases are collections of pages
Databases are pages themselves
Databases have properties
Databases can display the same content in different ways
Databases can contain multiple sources
Databases are collections of pages
Think of Notion databases as filing cabinets or notebooks. Each database serves as a container, letting you easily organize multiple Notion pages in a single structure. In the screenshot below, every row of the table is a page within the database. Database
This gives you a birds' eye view of an entire collection of pages at once. When you need to dive deeper, each page in a database can be opened, revealing its detailed contents. Databases are pages themselves
But wait - each database is also a page itself! This is powerful, because it allows you to move and nest databases alongside other content, just like any other page. Databases have properties
To help you organize all of the pages within a database, properties can be added to contextualize, label, and augment each individual item. You can then search, filter, and sort by these property values."
notion_page_05.txt,1,"all of the pages within a database, properties can be added to contextualize, label, and augment each individual item. You can then search, filter, and sort by these property values. Databases can display the same content in different ways
The contents of a database can be visualized as a table, list, board, calendar, gallery, timeline, or chart — whatever makes the information the most useful. Databases can contain multiple sources
Let’s say you want to create an all-in-one CRM database that stores information on contacts, companies, and deals. You can build your contact information, company information, and deal information all in the same database, while also treating them as separate data sources. Alternatively, maybe your team is currently managing projects and tasks in one database, and OKRs in another. You can link the OKR database in your projects and tasks database, bring all of these sources into one place so you can see all of your team’s progress side by side without jumping from one part of your workspace to another."
notion_page_06.txt,0,"Create a database In this Article
Now we'll create a database and use it to show off essential database actions and features. You'll get to play with database properties, views, filters, and sorts - let's get into it 📈
Contents
Create a new database
Create a database with Notion AI
Create a database from a template
Add data to your database
Open a row as a page
Create new database views
Filter and sort your data Create a new database
To create a new database: Create a new page and under Get started with, select ••• → Table. You can also open an existing page and use the slash command /database. The first column is where you enter the name of your database pages. Each column in a Notion table corresponds to a property that gives your item context. Let's add a task as an example, as well as a status property. Click a property name, then Edit property and Change type to see all of your property choices. Create a database with Notion AI
You can create a database in just seconds using Notion AI. This feature is available to everyone, even if they don’t have Notion AI for their workspace. From a page To create a database with Notion AI in an existing page:"
